TrackerModel,Age,Gender,EducationYears,MaritalStatus,DailySteps,FitnessRating,AnnualIncome,WorkoutHoursWeekly,ResidenceArea,DeviceUsageHours
Pro,32,Male,16.0,Married,7981,2,35775,5.78,Urban,2.3
Basic,42,Female,16.0,Single,14137,4,185279,3.47,Urban,2.43
Pro,47,Female,14.0,Single,6419,2,173625,3.38,Suburban,1.75
Basic,31,Female,16.0,Married,5315,1,20055,4.39,Urban,2.14
Basic,24,Male,16.0,Single,8620,2,108697,3.9,Urban,2.48
Advanced,34,Male,14.0,Single,8437,5,183945,5.69,Rural,2.58
Advanced,61,Male,10.0,Married,11078,3,121505,4.46,Suburban,1.97
Pro,37,Female,14.0,Single,3726,2,100720,1.78,Rural,1.89
Advanced,53,Male,10.0,Single,9694,1,98199,7.86,Urban,2.1
Pro,26,Male,14.0,Single,9271,5,176390,3.89,Suburban,1.43
Basic,55,Female,14.0,Single,7073,4,53734,3.21,Urban,1.9
Basic,39,Male,10.0,Married,8516,2,169594,5.43,Urban,2.37
Advanced,19,Male,12.0,Married,10588,1,162728,4.0,Urban,2.32
Pro,41,Female,12.0,Single,10116,1,166965,4.3,Urban,1.86
Pro,25,Male,16.0,Married,4070,1,36493,8.48,Rural,2.11
Advanced,28,Female,18.0,Married,9960,3,154704,2.95,Urban,1.59
Basic,30,Female,10.0,Single,7305,4,115872,2.86,Suburban,2.35
Advanced,34,Female,14.0,Married,7718,2,81779,3.73,Suburban,1.96
Basic,25,Female,14.0,Single,7719,4,189524,5.64,Suburban,1.86
Pro,38,Female,12.0,Single,7049,2,164338,0.49,Urban,1.82
Pro,35,Male,10.0,Single,11075,3,141187,0.0,Suburban,1.97
Advanced,47,Male,14.0,Single,7248,3,136603,2.33,Urban,1.78
Advanced,35,Female,16.0,Single,4141,1,81607,0.23,Urban,2.33
Advanced,63,Female,16.0,Married,6319,2,36940,2.65,Rural,1.8
Basic,64,Male,10.0,Single,8036,3,175075,4.5,Urban,2.8
Pro,48,Female,10.0,Single,11187,1,147880,1.72,Urban,2.73
Advanced,55,Female,14.0,Single,9309,2,118408,0.65,Rural,1.55
Pro,49,Female,12.0,Married,4948,3,54815,3.64,Urban,2.03
Basic,28,Male,12.0,Married,14955,5,181941,5.23,Suburban,1.67
Pro,62,Male,12.0,Married,8294,2,69297,0.11,Urban,1.84
Basic,42,Female,16.0,Married,11326,4,80107,5.14,Urban,3.0
Basic,50,Female,18.0,Married,7044,2,102793,5.13,Urban,1.85
Pro,55,Male,14.0,Single,9100,3,167754,5.41,Urban,2.18
Basic,58,Male,18.0,Married,10018,3,39622,5.94,Urban,2.27
Basic,25,Female,12.0,Married,11154,4,50408,7.9,Suburban,1.5
Pro,28,Female,14.0,Divorced,10672,2,159909,2.79,Suburban,1.57
Pro,39,Male,12.0,Married,10116,3,166479,3.72,Rural,1.4
Advanced,41,Male,14.0,Single,6554,3,180381,2.67,Urban,1.56
Advanced,58,Male,14.0,Single,5784,2,113190,3.5,Suburban,0.57
Advanced,34,Female,14.0,Single,8497,1,169967,6.57,Suburban,2.27
Basic,29,Male,12.0,Married,10299,1,20370,0.81,Rural,3.03
Basic,63,Female,14.0,Single,6831,1,134212,1.78,Urban,2.07
Advanced,49,Male,12.0,Single,10695,4,20486,6.25,Suburban,1.29
Advanced,32,Male,16.0,Married,11857,2,43762,5.54,Rural,1.68
Advanced,33,Male,14.0,Single,4751,2,46613,2.77,Urban,1.77
Advanced,39,Male,14.0,Married,4989,3,23196,5.21,Rural,1.49
Basic,45,Female,14.0,Single,7078,2,120565,4.18,Urban,2.43
Advanced,37,Female,14.0,Single,8422,3,96349,6.5,Suburban,2.41
Basic,50,Male,10.0,Single,5926,1,84839,3.65,Rural,1.42
Advanced,27,Female,14.0,Married,11556,5,192988,5.55,Suburban,2.36
Advanced,57,Male,12.0,Single,8772,4,28572,8.78,Urban,2.76
Pro,49,Male,16.0,Single,7618,4,179297,4.7,Urban,2.95
Basic,50,Male,16.0,Divorced,3192,2,65853,3.6,Rural,3.43
Basic,19,Male,16.0,Single,3552,3,183347,4.94,Urban,1.55
Basic,50,Female,14.0,Married,8343,1,92379,2.77,Urban,3.41
Advanced,50,Male,14.0,Married,1102,1,152177,8.28,Suburban,1.82
Advanced,58,Male,12.0,Single,10537,1,136074,3.86,Urban,1.7
Basic,30,Female,16.0,Married,7025,3,63209,2.95,Urban,2.16
Basic,47,Male,12.0,Single,15541,2,193559,1.83,Urban,1.71
Advanced,50,Male,14.0,Married,14423,3,169123,5.69,Urban,2.2
Basic,30,Male,12.0,Single,6955,1,114244,5.23,Suburban,1.34
Pro,43,Female,12.0,Married,7180,2,120300,2.51,Suburban,1.88
Advanced,39,Male,14.0,Single,10486,3,134682,4.65,Suburban,2.64
Basic,56,Female,10.0,Married,12609,2,77175,0.48,Rural,1.97
Basic,19,Male,16.0,Single,2585,3,157921,3.87,Rural,2.07
Pro,55,Male,12.0,Single,2140,2,121551,4.41,Suburban,2.24
Basic,56,Female,10.0,Single,5633,4,38976,6.91,Urban,2.59
Basic,43,Male,14.0,Single,9248,3,150617,1.96,Suburban,1.17
Pro,63,Male,10.0,Married,8990,2,119794,0.94,Urban,2.29
Pro,32,Female,12.0,Single,10709,2,76866,1.71,Suburban,1.87
Pro,51,Female,16.0,Divorced,3900,3,137752,0.83,Suburban,2.08
Advanced,59,Female,10.0,Divorced,1000,4,67078,6.17,Urban,2.53
Basic,61,Female,16.0,Married,10074,2,51113,6.6,Rural,1.4
Basic,57,Female,10.0,Single,5015,2,35401,4.14,Urban,1.49
Advanced,28,Male,12.0,Single,1444,4,163956,5.94,Suburban,1.03
Advanced,20,Female,16.0,Married,7935,3,188635,3.77,Urban,1.73
Advanced,23,Male,12.0,Single,9879,2,185486,3.31,Rural,2.67
Pro,26,Male,12.0,Single,7133,2,167214,2.83,Urban,1.94
Basic,23,Male,12.0,Married,6126,2,91492,2.88,Urban,1.33
Advanced,26,Female,12.0,Married,7021,3,96693,0.4,Urban,1.76
Basic,56,Female,16.0,Married,6388,2,55135,4.03,Urban,1.26
Advanced,48,Male,12.0,Single,3455,5,47862,3.42,Urban,1.44
Basic,49,Female,16.0,Married,5355,2,156262,4.99,Suburban,2.19
Basic,58,Female,16.0,Single,9063,2,90199,3.69,Urban,1.41
Basic,29,Female,14.0,Single,8465,3,125366,3.17,Urban,2.56
Advanced,25,Female,18.0,Married,8004,4,24331,1.76,Urban,1.96
Advanced,25,Male,12.0,Single,4514,4,64648,3.64,Rural,2.04
Advanced,45,Male,14.0,Single,6955,2,48549,4.98,Suburban,1.86
Pro,37,Female,10.0,Single,1000,3,45761,1.21,Suburban,2.39
Basic,64,Male,14.0,Married,8035,3,23262,3.67,Suburban,2.39
Basic,24,Female,14.0,Married,11786,2,92572,3.97,Urban,2.17
Pro,28,Female,12.0,Married,3077,1,107858,2.06,Urban,2.28
Basic,37,Male,14.0,Married,5742,2,104667,2.32,Urban,1.89
Pro,33,Male,16.0,Single,8487,2,24677,3.96,Rural,2.27
Basic,21,Male,10.0,Single,11258,4,150334,1.23,Rural,1.83
Pro,23,Female,12.0,Single,6155,2,121437,4.2,Urban,2.0
Basic,39,Male,16.0,Single,5423,5,169667,1.71,Urban,1.86
Pro,43,Female,14.0,Single,1593,3,80148,5.63,Urban,1.77
Advanced,20,Male,14.0,Divorced,7810,3,66926,8.18,Urban,1.66
Pro,58,Male,16.0,Single,13626,3,95271,1.78,Suburban,2.23
Basic,59,Female,14.0,Single,8332,1,54457,4.57,Urban,2.66
Advanced,31,Female,16.0,Single,7433,2,62531,2.05,Rural,2.59
Pro,28,Female,12.0,Single,8466,1,148027,3.47,Urban,1.37
Advanced,35,Female,12.0,Divorced,7466,3,65771,0.97,Rural,2.64
Advanced,29,Female,16.0,Single,5060,2,113135,4.46,Suburban,1.84
Advanced,40,Female,14.0,Single,15541,3,86354,1.75,Suburban,2.3
Advanced,29,Female,10.0,Married,8177,2,132743,3.09,Suburban,1.55
Advanced,30,Female,12.0,Single,7552,1,188361,1.44,Suburban,2.07
Advanced,42,Male,14.0,Single,4573,2,53892,5.14,Suburban,2.16
Pro,62,Female,14.0,Single,11410,4,149662,1.83,Suburban,1.26
Basic,36,Female,14.0,Married,9494,3,115057,4.6,Suburban,2.3
Basic,63,Male,14.0,Divorced,5841,2,58409,2.81,Rural,2.67
Pro,53,Female,12.0,Married,10505,3,185542,3.27,Suburban,1.91
Pro,62,Male,12.0,Single,6007,1,169457,3.8,Suburban,2.68
Advanced,25,Male,12.0,Married,5153,5,174368,1.98,Rural,1.91
Advanced,46,Female,10.0,Single,5220,3,138566,3.92,Urban,2.42
Basic,49,Male,16.0,Single,2186,2,81716,6.56,Urban,0.89
Basic,61,Female,14.0,Single,8914,3,109152,1.94,Urban,3.21
Advanced,35,Male,16.0,Single,2006,1,46382,5.84,Suburban,2.75
Basic,23,Male,16.0,Married,3814,5,96675,6.5,Rural,1.86
Advanced,35,Male,12.0,Married,1273,1,42419,1.87,Urban,1.01
Basic,36,Female,14.0,Divorced,7241,3,101238,0.59,Suburban,2.14
Pro,39,Female,14.0,Married,7049,2,190363,4.1,Suburban,1.28
Pro,54,Male,16.0,Married,6519,3,32397,2.41,Urban,2.22
Advanced,49,Male,12.0,Single,4372,3,77888,7.24,Suburban,2.21
Advanced,58,Female,14.0,Single,3983,3,55169,3.57,Rural,1.53
Basic,20,Female,14.0,Married,8893,3,82182,1.9,Urban,2.56
Pro,45,Male,12.0,Single,5848,4,112476,3.47,Suburban,2.4
Advanced,27,Male,12.0,Married,8449,1,62249,3.47,Suburban,2.49
Basic,52,Female,14.0,Single,4844,2,179413,2.36,Urban,2.0
Pro,46,Female,16.0,Single,8043,2,95603,3.59,Urban,1.29
Pro,32,Female,12.0,Single,11409,5,197216,5.41,Rural,2.49
Pro,50,Female,14.0,Single,9258,2,99360,2.53,Urban,1.86
Advanced,24,Female,12.0,Single,6262,3,33444,3.41,Urban,1.31
Advanced,29,Male,16.0,Married,8271,3,196719,3.47,Urban,2.68
Advanced,47,Female,12.0,Single,6778,2,143662,4.87,Suburban,3.05
Pro,38,Male,16.0,Married,7523,2,118843,4.68,Suburban,1.98
Pro,48,Female,12.0,Single,6523,2,30974,3.06,Suburban,3.08
Basic,41,Male,12.0,Single,7006,2,132150,3.63,Urban,2.05
Basic,37,Female,10.0,Single,8136,2,189455,2.76,Rural,1.81
Basic,54,Female,12.0,Married,4519,1,114826,0.54,Urban,1.68
Pro,21,Male,14.0,Single,4452,4,117648,4.02,Urban,2.82
Pro,45,Male,12.0,Married,3334,5,154028,7.28,Urban,1.61
Basic,61,Female,16.0,Single,2699,2,159149,1.73,Urban,2.37
Advanced,37,Female,10.0,Married,3848,2,56490,1.95,Rural,1.72
Basic,41,Female,12.0,Single,7978,1,144713,1.76,Rural,1.77
Pro,49,Female,12.0,Married,4821,3,75612,4.95,Urban,2.52
Pro,58,Female,10.0,Married,9040,4,120474,4.4,Rural,1.81
Pro,53,Male,12.0,Divorced,7604,1,56159,3.18,Suburban,1.8
Advanced,51,Male,14.0,Single,1594,1,59710,1.66,Rural,2.57
Advanced,53,Female,14.0,Single,9464,3,164878,3.68,Urban,2.8
Basic,19,Male,14.0,Single,9932,3,133096,0.37,Suburban,2.32
Basic,32,Male,14.0,Married,4518,1,127412,3.79,Urban,1.67
Pro,51,Male,14.0,Married,8760,3,114924,5.24,Rural,1.74
Pro,53,Female,10.0,Married,4930,2,26458,1.0,Urban,2.04
Pro,23,Male,14.0,Single,7793,2,150993,0.43,Suburban,2.16
Pro,56,Female,14.0,Single,3706,3,55524,6.66,Urban,1.51
Advanced,59,Male,14.0,Single,2120,4,157925,2.28,Urban,2.36
Advanced,29,Female,14.0,Divorced,6351,2,60477,5.77,Suburban,2.04
Pro,20,Male,12.0,Married,7128,4,52222,3.19,Rural,1.14
Pro,62,Female,16.0,Divorced,6306,2,38320,3.18,Suburban,1.54
Basic,35,Female,16.0,Single,3947,3,114154,4.38,Rural,1.75
Advanced,57,Male,14.0,Married,6300,2,72243,1.73,Urban,1.96
Basic,38,Female,14.0,Married,8307,4,196687,3.76,Suburban,2.94
Pro,32,Female,12.0,Single,7365,4,168424,2.74,Urban,2.12
Advanced,50,Female,10.0,Married,8047,1,92833,0.86,Urban,1.58
Basic,52,Female,16.0,Divorced,5489,4,113476,4.17,Suburban,2.11
Advanced,43,Female,16.0,Married,11015,4,134560,2.97,Suburban,1.82
Advanced,25,Female,12.0,Married,3971,3,154275,3.19,Suburban,2.16
Basic,53,Female,12.0,Single,8962,2,59267,1.08,Suburban,2.29
Basic,47,Female,10.0,Single,11045,4,57941,6.68,Suburban,2.6
Advanced,40,Male,12.0,Divorced,8942,4,102809,5.25,Urban,1.99
Advanced,59,Male,16.0,Single,6892,2,45368,5.43,Urban,2.82
Advanced,61,Female,14.0,Married,5915,5,97186,2.89,Suburban,2.45
Advanced,31,Female,12.0,Married,10608,1,50984,0.04,Urban,1.65
Pro,31,Male,12.0,Married,3231,1,193013,7.41,Urban,3.1
Advanced,19,Male,10.0,Divorced,4589,3,20801,3.38,Urban,2.16
Advanced,54,Male,12.0,Single,6307,3,126538,2.0,Suburban,1.58
Pro,22,Female,14.0,Single,11212,3,132201,4.33,Urban,2.83
Advanced,55,Male,14.0,Single,8639,1,67965,5.83,Suburban,3.04
Basic,62,Female,16.0,Single,4595,5,105269,3.45,Suburban,1.98
Basic,58,Female,10.0,Single,6569,1,161041,6.06,Urban,1.75
Advanced,64,Male,16.0,Single,5657,1,55969,5.67,Suburban,1.91
Advanced,31,Female,16.0,Married,5370,1,183521,1.35,Suburban,2.36
Advanced,56,Female,16.0,Divorced,10436,3,111679,2.15,Suburban,2.64
Basic,42,Female,14.0,Single,3384,4,176777,5.42,Suburban,2.29
Basic,37,Female,12.0,Single,12326,3,48363,0.0,Urban,2.05
Basic,19,Male,12.0,Divorced,9984,4,181792,3.2,Suburban,2.75
Basic,56,Male,10.0,Single,10772,1,161044,0.64,Urban,1.84
Advanced,23,Female,12.0,Single,6111,3,53351,2.55,Rural,2.52
Basic,34,Female,12.0,Single,7050,2,131023,2.9,Rural,1.86
Advanced,42,Male,14.0,Married,3200,2,187217,2.78,Suburban,2.22
Pro,45,Female,16.0,Single,5926,1,107948,2.4,Urban,1.94
Basic,19,Male,14.0,Divorced,8980,3,76235,1.31,Urban,1.97
Advanced,52,Female,10.0,Single,11388,3,34855,8.08,Urban,1.81
Advanced,54,Female,14.0,Married,4178,3,187241,7.23,Urban,2.67
Basic,22,Male,18.0,Single,6403,2,197476,1.18,Urban,1.63
Advanced,18,Male,16.0,Single,7046,1,170641,6.66,Suburban,1.63
Pro,57,Male,14.0,Married,3312,3,145074,2.7,Urban,3.06
Pro,29,Male,14.0,Married,9274,1,74437,3.76,Rural,2.49
Basic,53,Female,14.0,Married,5328,4,199578,3.37,Urban,0.81
Pro,62,Male,10.0,Married,6913,3,176810,2.18,Rural,1.72
Advanced,40,Female,12.0,Divorced,6144,1,157844,5.47,Rural,1.09
Basic,64,Male,12.0,Married,5131,5,110410,3.75,Suburban,1.52
Advanced,48,Male,12.0,Married,7478,3,39731,2.55,Suburban,0.5
Pro,28,Female,12.0,Single,6853,1,161203,0.89,Urban,1.93
Advanced,27,Male,14.0,Single,6384,3,86324,1.71,Suburban,1.43
Basic,20,Male,16.0,Single,5314,2,101720,0.22,Urban,2.03
Advanced,31,Male,14.0,Married,8458,4,116433,3.52,Urban,1.19
Basic,33,Male,12.0,Single,12460,4,22889,1.11,Suburban,2.04
Basic,27,Female,16.0,Single,7919,5,29569,2.97,Urban,1.79
Basic,46,Female,14.0,Married,10488,3,107193,6.24,Suburban,2.75
Basic,27,Male,12.0,Married,3329,2,105192,5.9,Urban,2.71
Basic,29,Male,14.0,Divorced,7973,3,107154,3.44,Urban,2.39
Basic,47,Male,12.0,Single,4207,1,128073,3.33,Urban,1.84
Advanced,58,Female,12.0,Married,3069,3,27612,7.26,Urban,2.99
Basic,18,Female,18.0,Single,5281,3,71644,4.54,Urban,1.22
Basic,22,Female,12.0,Single,11075,1,52069,2.84,Urban,1.3
Pro,37,Female,14.0,Single,10350,2,101741,3.47,Urban,1.96
Advanced,25,Male,16.0,Single,8229,4,178403,4.29,Rural,3.13
Advanced,60,Male,16.0,Single,2901,4,75897,5.16,Urban,1.9
Basic,29,Male,10.0,Married,6911,1,165006,2.24,Suburban,1.91
Basic,18,Female,12.0,Single,8405,1,161167,4.08,Urban,1.28
Basic,37,Male,10.0,Married,8026,2,122544,2.77,Rural,2.47
Basic,45,Female,14.0,Married,1968,4,38706,3.13,Urban,2.48
Basic,60,Female,14.0,Single,4829,1,194588,0.0,Urban,2.39
Basic,54,Male,12.0,Single,7307,3,123602,3.06,Suburban,1.69
Basic,64,Male,14.0,Single,9108,1,54629,5.44,Urban,1.65
Basic,54,Male,14.0,Married,1000,3,197982,2.24,Suburban,1.35
Advanced,29,Female,12.0,Single,7013,2,144746,3.47,Urban,2.04
Basic,54,Female,14.0,Single,7929,3,40431,1.99,Rural,1.46
Basic,61,Male,14.0,Single,10048,2,60088,4.22,Urban,1.41
Advanced,45,Male,10.0,Married,9578,3,195207,3.07,Urban,1.79
Advanced,64,Female,12.0,Divorced,9247,2,189087,1.62,Suburban,1.76
Basic,32,Male,16.0,Single,5100,3,51385,6.17,Urban,1.73
Advanced,23,Female,14.0,Married,1775,4,90199,5.36,Rural,2.23
Advanced,61,Female,14.0,Married,6320,1,58677,2.29,Urban,2.04
Basic,37,Male,14.0,Divorced,10504,4,138104,4.5,Suburban,1.86
Pro,31,Male,10.0,Married,11680,3,32818,4.57,Urban,2.09
Pro,19,Male,12.0,Married,9631,1,83001,4.78,Rural,1.5
Basic,26,Male,14.0,Married,8788,2,175049,0.11,Suburban,2.05
Basic,54,Female,12.0,Married,8638,1,69832,5.51,Urban,2.08
Pro,37,Female,10.0,Single,5831,3,60931,2.36,Urban,1.25
Advanced,43,Female,16.0,Single,7109,3,103990,2.78,Urban,2.5
Basic,46,Male,14.0,Single,12507,1,92204,8.78,Rural,1.56
Basic,18,Female,16.0,Married,4672,3,65784,4.1,Urban,2.05
Basic,52,Male,16.0,Married,12344,4,126305,2.73,Urban,2.58
Advanced,23,Male,12.0,Single,6533,4,29921,0.0,Urban,2.46
Advanced,54,Male,14.0,Married,11476,3,54959,6.28,Urban,2.02
Basic,22,Male,12.0,Single,3279,5,52328,0.81,Suburban,1.82
Advanced,50,Male,14.0,Single,9257,3,159931,1.49,Rural,2.47
Advanced,31,Male,14.0,Divorced,5289,2,109506,2.84,Suburban,2.34
Basic,29,Female,16.0,Single,3254,4,94408,6.33,Rural,1.69
Basic,59,Male,14.0,Single,8155,2,143852,5.05,Suburban,1.6
Advanced,37,Female,14.0,Married,10528,2,46708,3.18,Urban,0.96
Pro,41,Female,12.0,Married,4965,2,38847,4.12,Urban,2.08
Advanced,60,Male,14.0,Single,3002,4,75989,2.3,Suburban,1.96
Advanced,51,Male,14.0,Married,7224,4,145383,3.78,Rural,2.57
Basic,42,Male,10.0,Married,7237,2,24922,3.65,Rural,2.18
Advanced,46,Female,14.0,Single,9144,2,72335,5.44,Urban,2.67
Advanced,56,Male,14.0,Single,10348,2,146913,5.43,Urban,1.65
Basic,48,Female,12.0,Married,7321,3,164613,4.49,Urban,2.57
Basic,64,Male,16.0,Single,13066,2,39551,2.78,Rural,1.74
Basic,60,Male,18.0,Divorced,8172,3,170453,4.98,Rural,2.39
Basic,40,Female,18.0,Married,6460,2,133319,3.32,Suburban,1.27
Basic,61,Female,14.0,Divorced,2665,2,75673,1.34,Urban,2.12
Basic,55,Male,14.0,Single,6712,1,121531,2.69,Suburban,1.01
Basic,37,Female,14.0,Divorced,6490,2,42948,3.67,Urban,1.87
Basic,40,Female,16.0,Single,10380,4,112264,5.32,Urban,2.22
Pro,62,Female,12.0,Single,8887,2,79072,3.13,Suburban,1.74
Advanced,33,Female,14.0,Single,3961,1,87560,1.08,Urban,1.47
Advanced,59,Female,16.0,Single,8016,2,153558,3.61,Urban,2.42
Advanced,25,Male,12.0,Married,9514,2,86691,3.73,Rural,1.95
Advanced,38,Male,14.0,Single,12084,1,161154,3.87,Suburban,1.76
Basic,18,Female,14.0,Single,10162,2,122781,5.34,Urban,2.02
Advanced,25,Male,12.0,Married,9782,3,104105,5.54,Suburban,3.32
Advanced,46,Male,14.0,Single,7680,3,27086,2.31,Urban,2.58
Advanced,49,Female,16.0,Married,8664,2,147818,2.27,Suburban,2.58
Advanced,55,Male,14.0,Single,11248,2,87853,1.42,Suburban,2.22
Basic,22,Female,10.0,Married,3501,5,121925,4.9,Suburban,2.08
Basic,64,Female,10.0,Married,6451,2,90027,6.4,Suburban,0.8
Basic,39,Male,12.0,Single,5182,2,35916,2.87,Urban,1.66
Advanced,64,Female,18.0,Single,8637,2,35248,3.02,Urban,1.76
Advanced,51,Female,12.0,Single,11190,2,44226,6.43,Urban,1.06
Basic,18,Female,14.0,Married,5709,3,176097,4.51,Urban,1.42
Pro,43,Female,12.0,Single,1000,2,68380,4.37,Suburban,1.01
Advanced,60,Female,12.0,Single,6263,3,27848,1.12,Urban,1.98
Basic,27,Male,16.0,Single,10240,1,34274,4.86,Urban,2.41
Basic,47,Male,16.0,Single,9112,2,74545,1.64,Urban,2.55
Basic,35,Female,10.0,Single,8784,3,116494,1.23,Rural,2.21
Basic,34,Female,14.0,Married,6660,2,135981,2.81,Urban,1.52
Basic,43,Male,10.0,Single,3662,3,186305,2.33,Suburban,1.03
Basic,25,Female,14.0,Single,9045,2,36304,3.06,Urban,1.12
Basic,64,Male,14.0,Married,4997,3,31294,0.62,Urban,1.37
Basic,57,Female,12.0,Married,14052,1,46425,5.42,Urban,1.56
Pro,29,Female,12.0,Single,9211,4,130777,3.47,Suburban,1.92
Basic,44,Female,12.0,Single,5758,1,160497,0.0,Suburban,1.49
Advanced,25,Female,18.0,Single,5665,4,111549,5.46,Rural,2.17
Advanced,42,Female,14.0,Divorced,7221,2,113464,1.88,Urban,1.88
Pro,63,Female,10.0,Single,6781,3,196062,5.21,Urban,2.01
Basic,21,Female,16.0,Divorced,10850,2,126748,3.36,Rural,2.57
Basic,50,Male,12.0,Married,8059,4,88295,3.56,Urban,1.41
Pro,18,Male,12.0,Married,5305,1,36091,3.13,Suburban,2.21
Pro,36,Male,16.0,Single,13171,1,139943,5.92,Suburban,1.99
Pro,48,Female,18.0,Single,7647,2,151074,1.02,Urban,1.83
Basic,33,Female,14.0,Single,9806,1,70411,4.72,Suburban,2.44
Basic,31,Female,14.0,Single,5675,1,192030,5.7,Urban,2.44
Advanced,22,Female,12.0,Married,8589,4,115696,4.93,Urban,1.53
Pro,58,Female,16.0,Divorced,8433,5,171779,8.15,Urban,1.91
Advanced,43,Female,12.0,Married,1831,2,166320,2.44,Rural,2.14
Advanced,45,Female,14.0,Married,13545,4,91309,5.41,Urban,1.86
Basic,19,Male,12.0,Single,11371,3,166109,3.29,Suburban,2.29
Advanced,23,Female,14.0,Single,6308,2,87421,5.97,Rural,2.14
Basic,26,Male,12.0,Single,4193,3,60612,3.48,Suburban,2.92
Basic,50,Male,12.0,Married,8542,3,33450,2.72,Suburban,1.23
Advanced,58,Female,18.0,Divorced,7760,5,29491,6.11,Urban,1.94
Advanced,42,Female,12.0,Married,15541,2,137026,2.52,Urban,1.55
Basic,30,Male,14.0,Single,8074,3,94804,0.67,Urban,2.3
Basic,26,Male,12.0,Single,9018,1,113293,2.47,Suburban,1.19
Advanced,30,Female,10.0,Married,11841,1,139498,4.74,Rural,2.17
Basic,48,Female,10.0,Single,9204,1,157863,6.28,Rural,1.68
Advanced,58,Male,12.0,Married,4351,5,125475,3.72,Rural,1.63
Basic,28,Female,16.0,Married,11587,4,48314,6.14,Rural,1.28
Advanced,21,Female,12.0,Married,12421,3,71883,0.78,Urban,1.77
Advanced,51,Female,14.0,Single,15541,3,107086,2.61,Suburban,2.54
Basic,55,Male,14.0,Single,4129,2,121291,2.92,Rural,1.99
Basic,63,Male,14.0,Single,8228,1,29967,3.27,Urban,2.31
Basic,21,Male,14.0,Single,1253,2,63220,3.67,Rural,2.83
Basic,55,Female,14.0,Single,9159,2,156019,4.88,Urban,2.13
Pro,36,Female,16.0,Married,5855,3,190491,2.61,Suburban,1.72
Basic,23,Male,12.0,Married,13270,3,76131,3.78,Suburban,2.23
Pro,51,Male,12.0,Single,5176,1,48876,3.41,Rural,1.73
Basic,35,Male,16.0,Single,2432,1,121448,1.65,Urban,1.75
Advanced,30,Female,18.0,Single,6086,1,171043,3.27,Suburban,1.24
Advanced,58,Male,16.0,Single,1573,2,69228,3.21,Suburban,2.46
Advanced,40,Male,14.0,Married,9753,4,94495,3.17,Urban,1.81
Advanced,36,Female,16.0,Single,1304,3,48261,3.56,Suburban,2.09
Advanced,62,Female,14.0,Single,7585,4,126601,3.65,Suburban,1.48
Basic,28,Female,14.0,Single,1266,2,81260,2.64,Suburban,2.22
Pro,18,Male,12.0,Married,6539,2,154418,6.05,Urban,1.62
Pro,41,Female,14.0,Married,12430,1,76176,1.16,Urban,1.93
Pro,24,Female,12.0,Single,8581,4,72300,2.06,Suburban,2.44
Basic,42,Male,12.0,Married,4909,3,162412,9.06,Urban,2.4
Advanced,38,Female,16.0,Married,7406,1,53012,3.47,Urban,1.99
Pro,32,Male,12.0,Divorced,7554,3,186465,0.79,Rural,1.12
Basic,18,Male,10.0,Single,8917,2,122153,4.97,Suburban,3.5
Basic,29,Female,10.0,Married,3399,3,176629,0.0,Suburban,2.87
Advanced,24,Female,18.0,Divorced,9277,4,93273,3.03,Urban,2.36
Advanced,32,Female,14.0,Divorced,1000,3,132328,7.79,Urban,1.62
Pro,38,Female,14.0,Married,5610,3,130304,0.41,Urban,1.94
Basic,36,Female,16.0,Married,6035,1,126637,0.0,Urban,1.73
Advanced,46,Female,16.0,Single,9399,1,168348,0.5,Suburban,2.63
Basic,42,Male,12.0,Married,7567,1,74639,5.3,Suburban,2.13
Basic,50,Male,14.0,Married,3283,1,141939,5.75,Urban,1.61
Basic,49,Female,16.0,Married,4545,3,27310,2.47,Urban,1.76
Pro,52,Male,14.0,Single,8096,3,186239,4.87,Urban,2.56
Advanced,61,Female,12.0,Married,7262,1,122944,6.28,Urban,2.8
Advanced,55,Male,16.0,Married,5762,4,161463,7.07,Urban,2.76
Basic,43,Male,14.0,Single,6057,1,142013,3.01,Rural,2.38
Pro,28,Male,12.0,Married,9588,2,161964,0.0,Suburban,1.87
Basic,52,Female,14.0,Married,5946,2,96733,1.86,Suburban,0.5
Pro,25,Male,10.0,Married,7235,2,187214,2.65,Urban,2.15
Advanced,63,Female,12.0,Single,14009,2,196751,2.98,Rural,2.0
Basic,31,Male,16.0,Single,3228,2,192687,3.12,Suburban,2.07
Advanced,27,Male,10.0,Divorced,1944,2,198625,5.74,Suburban,2.03
Basic,19,Male,14.0,Single,9850,5,129264,6.05,Urban,1.34
Advanced,63,Male,14.0,Married,5464,1,99071,3.16,Rural,2.28
Advanced,26,Male,10.0,Single,6545,1,192074,5.7,Rural,2.32
Basic,20,Female,14.0,Married,5156,1,142611,4.22,Rural,2.34
Pro,38,Female,12.0,Single,6720,3,90658,3.63,Urban,2.47
Basic,43,Male,12.0,Married,12295,1,29852,3.47,Urban,2.3
Advanced,25,Male,12.0,Single,9906,4,25387,3.64,Urban,1.79
Pro,19,Male,12.0,Single,10086,3,147571,7.62,Urban,1.96
Advanced,23,Male,10.0,Single,3251,3,117295,0.62,Rural,2.05
Basic,45,Female,16.0,Single,4046,3,150381,2.47,Urban,2.05
Pro,46,Male,14.0,Divorced,1000,1,59994,3.25,Urban,2.5
Advanced,43,Female,12.0,Divorced,5071,1,136912,4.38,Urban,2.32
